Lead ID,Lead Source,Lead Status,Date of Lead Generation,Date of Last Contact,Sales Amount,Region,Salesperson,Conversion Date,Lead Qualification,Course Type,Follow-up Status,Marketing Campaign,Lead Score,Student Type,
3a1e2b5c-e203-4ab0-8fa2-eaec4d54ff4d,Referral,Lost,02-03-2025,02-03-2025,0,South,Raj,,Qualified,Java Full Stack,Contacted,Referral Program,37,Student,
adb6d733-bc2c-4ae4-b3a9-761e417b991c,Organic,Contacted,01-01-2025,15-01-2025,0,West,Priya,,Qualified,Data Analytics,Follow-up Scheduled,Google Ads Campaign,61,Fresher,
1c06b221-7c3c-4f16-a2bc-d02f7c8489d9,Social Media,Converted,15-07-2025,26-05-2025,2563,West,John,02-01-2025,Qualified,Power BI,Contacted,Facebook Ads,58,Fresher,
998b91c1-c100-450c-9310-aa3004b6460e,Google Ads,Lost,27-04-2025,27-04-2025,0,East,John,,Unqualified,Data Analytics,Follow-up Scheduled,Referral Program,47,Working Professional,
a1dfefc7-92c0-4d36-9885-08b2a10f7e1e,Google Ads,Contacted,31-01-2025,01-03-2025,0,South,Raj,,Unqualified,Data Analytics,Pending Follow-up,Referral Program,65,Student,
fe50a7ea-6cca-42e4-b647-31dbdab7d2fb,Google Ads,Lost,23-02-2025,23-02-2025,0,South,Priya,,Qualified,Salesforce,No Follow-up,Referral Program,43,Working Professional,
a6996a07-e1ad-4762-aa3c-df55302c7d87,Organic,Contacted,27-05-2025,03-06-2025,0,North,Mary,,Unqualified,Data Analytics,Follow-up Scheduled,Facebook Ads,46,Fresher,
55bf4cd9-c9c6-4166-9169-f986472dbc4c,Organic,Contacted,29-06-2025,03-06-2025,0,South,Raj,,Qualified,Data Analytics,Pending Follow-up,Organic Search,87,Working Professional,
c23ee322-c34a-491f-8891-f5b58487b610,Referral,Lost,14-04-2025,14-04-2025,0,West,Mary,,Unqualified,Salesforce,No Follow-up,Organic Search,76,Working Professional,
e39ef79c-63c4-4e3f-ba5a-a820d16bf0e3,Google Ads,Lost,14-07-2025,14-07-2025,0,North,Priya,,Qualified,Data Analytics,Pending Follow-up,Referral Program,37,Fresher,
43f4f7da-408e-4f96-be2c-29a1d38dae68,Organic,Lost,20-04-2025,20-04-2025,0,West,Raj,,Qualified,Data Analytics,No Follow-up,Google Ads Campaign,30,Working Professional,
80101274-0dc7-46ad-8857-e701c6e7f6d3,Google Ads,Converted,30-03-2025,22-02-2025,4189,East,John,16-06-2025,Qualified,Salesforce,Follow-up Scheduled,Organic Search,32,Student,
12d8154e-b1c4-4767-a6b2-2932c6d802df,Google Ads,Contacted,17-05-2025,22-04-2025,0,North,Mary,,Qualified,Salesforce,Contacted,Facebook Ads,52,Student,
6a662f27-2c8f-4d8c-9785-17394ea6efe4,Referral,Converted,22-07-2025,29-08-2025,2415,South,John,20-07-2025,Qualified,Salesforce,Contacted,Google Ads Campaign,78,Student,
cbf4cf40-dff7-44df-8713-eb884c47caca,Google Ads,Contacted,14-09-2025,14-05-2025,0,West,Mary,,Qualified,Java Full Stack,Contacted,Organic Search,36,Working Professional,
c7ac3517-0126-4909-af65-b91f97e5cfda,Google Ads,Converted,23-02-2025,22-08-2025,3203,West,Priya,20-01-2025,Qualified,Java Full Stack,Pending Follow-up,Referral Program,60,Student,
886be686-c07e-4d99-ae0b-9f94f6e389a9,Google Ads,Converted,15-02-2025,05-10-2025,2805,North,Mary,13-10-2025,Unqualified,Java Full Stack,Contacted,Facebook Ads,58,Working Professional,
23a25991-72c8-4d55-af07-1774dbd8c21b,Referral,Contacted,30-06-2025,16-05-2025,0,East,Priya,,Unqualified,Salesforce,Pending Follow-up,Google Ads Campaign,92,Student,
b0caafb3-76c6-4514-9cfe-7e2f8d80933a,Google Ads,Lost,03-08-2025,03-08-2025,0,West,Priya,,Unqualified,Salesforce,Contacted,Google Ads Campaign,65,Working Professional,
16094d1c-2e6d-43d4-8cf7-2c52e1285919,Organic,Converted,08-10-2025,11-10-2025,2134,West,John,08-02-2025,Qualified,Salesforce,No Follow-up,Referral Program,42,Working Professional,
1482e109-1e6a-48db-8707-2fcd8f427793,Referral,Lost,17-01-2025,17-01-2025,0,West,Raj,,Unqualified,Java Full Stack,No Follow-up,Organic Search,44,Working Professional,
9219eabd-7b78-4645-880d-fbafb443ac55,Social Media,Lost,17-07-2025,17-07-2025,0,West,Priya,,Unqualified,Java Full Stack,Pending Follow-up,Organic Search,86,Fresher,
9e148d4d-ea37-452e-b5e2-85ae1b16a420,Google Ads,Converted,27-09-2025,22-05-2025,4113,East,Mary,14-05-2025,Qualified,Java Full Stack,No Follow-up,Facebook Ads,55,Fresher,
cf448f88-ed59-47c6-8926-1c2a2d2c3a13,Organic,Lost,27-07-2025,27-07-2025,0,East,Priya,,Qualified,Power BI,Follow-up Scheduled,Facebook Ads,62,Fresher,
d21f1d48-10b4-4e89-b0b3-08e67fd35c6f,Social Media,Lost,09-03-2025,09-03-2025,0,North,Raj,,Unqualified,Java Full Stack,No Follow-up,Organic Search,49,Student,
69a606ca-1c54-48f9-b484-5940df172664,Social Media,Lost,22-04-2025,22-04-2025,0,East,Raj,,Qualified,Java Full Stack,No Follow-up,Facebook Ads,30,Fresher,
21750b16-569a-4a21-9c20-23f230b6cab9,Social Media,Converted,02-06-2025,14-03-2025,2779,East,Raj,01-08-2025,Unqualified,Power BI,Contacted,Referral Program,80,Working Professional,
655b8e46-abf3-47a2-b0e8-1974bfa0cb02,Referral,Contacted,28-08-2025,24-04-2025,0,North,Raj,,Qualified,Data Analytics,Follow-up Scheduled,Facebook Ads,59,Student,
91325f64-8965-488d-b307-e01998f8a723,Referral,Contacted,06-04-2025,01-05-2025,0,South,Priya,,Qualified,Salesforce,Pending Follow-up,Referral Program,63,Student,
878ab0bd-5fcb-4779-bd2d-f527ef47315d,Organic,Lost,04-04-2025,04-04-2025,0,West,Mary,,Qualified,Salesforce,Contacted,Referral Program,31,Fresher,
54861c50-cdf2-42d5-8f15-6dd4a023f6c2,Referral,Lost,04-01-2025,04-01-2025,0,East,John,,Unqualified,Salesforce,Follow-up Scheduled,Facebook Ads,69,Student,
043b72a6-2570-48ac-8bbb-655d9cbd44e7,Google Ads,Contacted,12-08-2025,28-06-2025,0,South,Mary,,Qualified,Salesforce,No Follow-up,Google Ads Campaign,56,Fresher,
9cfb4a86-c47c-4975-9770-e6a64d9c5f6d,Organic,Contacted,20-05-2025,27-07-2025,0,East,Mary,,Qualified,Power BI,Contacted,Referral Program,63,Working Professional,
aae1c40a-c302-4172-9fcf-fb3d84cb0f0e,Google Ads,Converted,30-06-2025,12-06-2025,2956,East,John,09-06-2025,Qualified,Power BI,No Follow-up,Organic Search,83,Fresher,
ad74c29d-3eb7-49a8-9e7f-8520ff687652,Google Ads,Contacted,04-02-2025,15-03-2025,0,West,Raj,,Unqualified,Data Analytics,Follow-up Scheduled,Google Ads Campaign,92,Working Professional,
4dc4fb19-de5a-4836-8281-78fce399c272,Social Media,Contacted,26-02-2025,17-05-2025,0,West,Mary,,Qualified,Power BI,Contacted,Google Ads Campaign,55,Student,
e938c18a-8dc3-4b99-af02-0bb782fcda88,Social Media,Lost,22-05-2025,22-05-2025,0,South,John,,Qualified,Data Analytics,Contacted,Referral Program,92,Student,
652c758c-e34b-496e-9332-4ccb12fddd46,Referral,Lost,25-02-2025,25-02-2025,0,South,Mary,,Qualified,Power BI,Contacted,Organic Search,31,Working Professional,
80bb604b-e2e9-4f0d-9c93-a101a0214a34,Referral,Converted,07-01-2025,16-08-2025,2897,North,Priya,31-01-2025,Unqualified,Java Full Stack,Pending Follow-up,Google Ads Campaign,50,Working Professional,
993b073b-28dd-4822-8579-7403e3a36426,Social Media,Converted,21-05-2025,07-08-2025,2908,East,John,15-05-2025,Qualified,Salesforce,Follow-up Scheduled,Facebook Ads,35,Fresher,
bb6d181e-dfc0-4e52-a231-ac0ef933bade,Referral,Lost,01-01-2025,01-01-2025,0,East,Raj,,Unqualified,Salesforce,Contacted,Facebook Ads,94,Student,
430d90bf-713d-4baf-bdcf-314f3c78a3dd,Organic,Converted,17-01-2025,03-07-2025,4291,West,Mary,12-04-2025,Unqualified,Salesforce,No Follow-up,Google Ads Campaign,79,Fresher,
aeba8f18-da5b-4dd8-b9f7-2fecba854fa3,Referral,Lost,04-10-2025,04-10-2025,0,North,John,,Unqualified,Salesforce,Contacted,Google Ads Campaign,91,Fresher,
e51c44d0-1a83-4e77-a435-c5dcb5d18e25,Organic,Converted,06-07-2025,21-03-2025,2647,West,Raj,07-08-2025,Qualified,Data Analytics,No Follow-up,Facebook Ads,34,Working Professional,
afd62be3-a9be-4361-9c0a-b8b47f70a912,Social Media,Lost,24-08-2025,24-08-2025,0,North,Raj,,Unqualified,Power BI,No Follow-up,Facebook Ads,39,Working Professional,
94ccf203-d929-49c3-8fb1-e1272cd248a9,Referral,Lost,11-01-2025,11-01-2025,0,West,John,,Qualified,Java Full Stack,Contacted,Facebook Ads,35,Working Professional,
ee965f60-1817-4d71-a70e-8d70f58ca64e,Organic,Lost,27-01-2025,27-01-2025,0,East,Mary,,Unqualified,Power BI,Contacted,Referral Program,32,Working Professional,
9e0def5f-5720-4d91-a343-26dc254aeba0,Organic,Converted,26-01-2025,12-09-2025,4535,West,John,19-09-2025,Qualified,Salesforce,No Follow-up,Organic Search,35,Student,
4a8c4432-b948-432c-a785-d93772e0e3bb,Social Media,Converted,06-07-2025,12-10-2025,2087,West,Raj,25-07-2025,Qualified,Data Analytics,No Follow-up,Organic Search,50,Student,
71915817-634d-4328-9afd-3f9c98e4ed27,Social Media,Converted,15-02-2025,05-10-2025,4647,West,John,26-07-2025,Qualified,Data Analytics,Pending Follow-up,Referral Program,83,Fresher,
f9b48d99-2d14-46b4-a373-f096ef11df42,Referral,Lost,10-02-2025,10-02-2025,0,South,Raj,,Qualified,Power BI,Pending Follow-up,Organic Search,65,Student,
4e729bc1-1af1-4ec9-a3e5-1ad07bed1a1e,Social Media,Contacted,15-04-2025,11-06-2025,0,West,Priya,,Qualified,Java Full Stack,Pending Follow-up,Google Ads Campaign,32,Working Professional,
3f117def-c1ae-427a-8ebe-b1e7832f7c77,Referral,Lost,21-08-2025,21-08-2025,0,South,John,,Unqualified,Data Analytics,No Follow-up,Google Ads Campaign,71,Student,
b6749bf0-2cc4-4985-bf0c-f7b8d0f84314,Organic,Contacted,09-02-2025,11-06-2025,0,South,Mary,,Unqualified,Java Full Stack,No Follow-up,Facebook Ads,41,Working Professional,
906494b6-f75b-409e-ab8b-a2eac151e8fb,Google Ads,Converted,24-03-2025,24-09-2025,2568,South,Priya,21-03-2025,Unqualified,Salesforce,Follow-up Scheduled,Organic Search,35,Student,
3558e0e7-9175-446a-a6ac-03db79b2e61b,Referral,Contacted,10-10-2025,19-06-2025,0,South,Mary,,Qualified,Data Analytics,No Follow-up,Google Ads Campaign,79,Working Professional,
a63bf692-3842-4a52-be61-33a38d334025,Organic,Lost,17-03-2025,17-03-2025,0,South,Priya,,Qualified,Data Analytics,No Follow-up,Google Ads Campaign,56,Student,
db944181-9e25-4c36-a51d-abd6200107a9,Referral,Converted,31-05-2025,25-04-2025,2447,South,Raj,08-04-2025,Unqualified,Salesforce,No Follow-up,Google Ads Campaign,55,Fresher,
d2c57e7d-a1d6-4676-8ba2-d53abacb0bd0,Social Media,Converted,26-06-2025,12-02-2025,2304,North,John,24-03-2025,Qualified,Salesforce,Pending Follow-up,Facebook Ads,52,Fresher,
3ee0f706-b683-4ff9-af65-5c8b3c9fc696,Google Ads,Contacted,04-08-2025,22-06-2025,0,West,Mary,,Unqualified,Salesforce,Contacted,Organic Search,39,Working Professional,
2aa301c2-b76b-49cd-b0ef-fe5a3b5999b3,Organic,Contacted,01-09-2025,26-06-2025,0,South,Mary,,Unqualified,Salesforce,No Follow-up,Referral Program,73,Working Professional,
8c33a42d-d418-456e-9ae5-f873ae70199d,Organic,Converted,19-01-2025,22-01-2025,4173,North,Raj,04-07-2025,Unqualified,Salesforce,Contacted,Facebook Ads,38,Student,
19388a15-68b6-48cb-a6fb-6b06ef8184e2,Organic,Lost,21-08-2025,21-08-2025,0,West,Raj,,Qualified,Java Full Stack,Contacted,Google Ads Campaign,37,Working Professional,
2b55ab0b-4a26-4e24-a201-2ffb168ab3db,Organic,Converted,08-07-2025,13-02-2025,2612,South,Mary,17-02-2025,Qualified,Salesforce,No Follow-up,Organic Search,50,Working Professional,
1cb1fdd3-bc18-4156-b673-5e146fde3771,Social Media,Contacted,02-03-2025,29-01-2025,0,South,John,,Qualified,Java Full Stack,No Follow-up,Google Ads Campaign,38,Student,
3321f8fb-19b2-4458-9e4e-bfc7eb730c15,Google Ads,Contacted,08-10-2025,14-08-2025,0,East,Raj,,Qualified,Data Analytics,Contacted,Organic Search,63,Fresher,
74170571-ac18-44a2-b372-d4e1a1754219,Social Media,Contacted,14-03-2025,26-07-2025,0,East,Mary,,Unqualified,Data Analytics,Follow-up Scheduled,Google Ads Campaign,79,Fresher,
d35cb395-4245-4c7e-bb6f-f3574327d506,Social Media,Converted,02-03-2025,15-08-2025,2572,East,Mary,31-08-2025,Unqualified,Power BI,No Follow-up,Organic Search,34,Fresher,
22a45ccc-b82e-4016-8849-0db3c98db08f,Referral,Contacted,10-05-2025,04-01-2025,0,West,John,,Unqualified,Data Analytics,No Follow-up,Facebook Ads,59,Working Professional,
b9de8e40-65db-4ac2-a4e1-75e08f95a148,Organic,Converted,17-06-2025,26-05-2025,3396,East,Raj,26-06-2025,Qualified,Data Analytics,Follow-up Scheduled,Organic Search,89,Working Professional,
ea28e20c-52eb-48ac-95cb-c7aee3b30dac,Social Media,Converted,17-02-2025,05-07-2025,3036,West,John,10-04-2025,Unqualified,Java Full Stack,Pending Follow-up,Organic Search,59,Student,
141cb7e9-148f-4313-9264-a699c375735e,Referral,Contacted,19-07-2025,16-08-2025,0,East,John,,Qualified,Power BI,Pending Follow-up,Organic Search,68,Fresher,
b7e7e542-fed0-4557-b20b-1814de603e12,Organic,Lost,26-09-2025,26-09-2025,0,North,Raj,,Qualified,Java Full Stack,Pending Follow-up,Google Ads Campaign,51,Working Professional,
56f5fdae-d1d2-4bfc-8b80-32593b90b198,Social Media,Lost,01-03-2025,01-03-2025,0,South,Raj,,Qualified,Salesforce,Contacted,Referral Program,74,Working Professional,
a63c160e-5037-4b32-8db8-b85a3c7f3e47,Social Media,Converted,06-06-2025,15-02-2025,2411,South,Mary,30-01-2025,Qualified,Java Full Stack,Pending Follow-up,Facebook Ads,33,Student,
5ff1ed60-d7ba-4bd5-9334-d10a345994b0,Referral,Contacted,08-01-2025,08-08-2025,0,North,Raj,,Qualified,Power BI,Contacted,Facebook Ads,65,Fresher,
730d45ad-593f-4ea3-81aa-52098b0bef2e,Social Media,Lost,02-06-2025,02-06-2025,0,South,Raj,,Qualified,Power BI,Pending Follow-up,Facebook Ads,54,Working Professional,
be6ff876-af0f-4f67-b877-f2c0540c4a08,Organic,Contacted,30-06-2025,31-03-2025,0,North,John,,Unqualified,Salesforce,Contacted,Google Ads Campaign,41,Student,
cedf551a-9d8b-4dff-91e7-5390d5b8a106,Social Media,Lost,16-09-2025,16-09-2025,0,East,Priya,,Qualified,Salesforce,Contacted,Google Ads Campaign,89,Fresher,
7dac53e6-54d7-4b17-9fb6-74bb63f468c9,Referral,Lost,12-05-2025,12-05-2025,0,East,Priya,,Unqualified,Power BI,Pending Follow-up,Google Ads Campaign,45,Student,
5865b868-975b-47a1-a566-0c016291e083,Referral,Converted,26-07-2025,26-07-2025,2102,West,John,20-09-2025,Qualified,Data Analytics,Pending Follow-up,Facebook Ads,65,Fresher,
f344d551-4fcb-410c-a682-ed859510b6d5,Referral,Contacted,17-05-2025,11-08-2025,0,South,Raj,,Unqualified,Data Analytics,Contacted,Organic Search,31,Student,
e22ff3b2-b4ab-4915-ae95-93b30fe88b8e,Google Ads,Contacted,06-06-2025,26-08-2025,0,South,Raj,,Unqualified,Data Analytics,Follow-up Scheduled,Google Ads Campaign,30,Student,
ff5842ff-4356-4a8d-ba84-4b9ab2281773,Google Ads,Lost,14-08-2025,14-08-2025,0,West,Raj,,Unqualified,Data Analytics,No Follow-up,Google Ads Campaign,41,Fresher,
f6d775cb-4f06-4a34-8802-8f713fa5e76e,Google Ads,Lost,28-03-2025,28-03-2025,0,East,Raj,,Qualified,Java Full Stack,Pending Follow-up,Google Ads Campaign,75,Student,
b10864c2-a0cb-436f-95c7-dcbe60b3aa1b,Social Media,Contacted,08-01-2025,22-02-2025,0,East,Priya,,Unqualified,Salesforce,Contacted,Organic Search,88,Fresher,
020fb2dd-23f1-45d6-a2c7-f68ed625b6e7,Organic,Lost,20-06-2025,20-06-2025,0,North,Priya,,Unqualified,Power BI,No Follow-up,Organic Search,33,Student,
0a22740e-7602-4c2a-a048-e6420ca140c3,Social Media,Lost,03-03-2025,03-03-2025,0,East,Raj,,Qualified,Java Full Stack,Contacted,Organic Search,68,Working Professional,
a425bdd9-aa99-4694-b2cc-e32a94540790,Organic,Converted,22-05-2025,11-06-2025,2737,South,John,25-08-2025,Qualified,Data Analytics,Contacted,Organic Search,50,Working Professional,
bb1f9f5f-0d6e-4cfd-a5a9-235b4b80484e,Google Ads,Converted,27-06-2025,11-02-2025,4764,North,Mary,02-05-2025,Unqualified,Java Full Stack,No Follow-up,Organic Search,52,Fresher,
25ba58f3-8673-4910-83ca-af4ca214f9d2,Social Media,Lost,15-06-2025,15-06-2025,0,East,Raj,,Unqualified,Data Analytics,Follow-up Scheduled,Referral Program,90,Working Professional,
113dce64-e159-4e7e-9d13-e0b6c9eccb94,Referral,Contacted,07-06-2025,29-06-2025,0,East,Raj,,Qualified,Java Full Stack,Contacted,Referral Program,78,Fresher,
eb190f49-77ad-490f-931d-ccda305c7ba1,Google Ads,Converted,25-01-2025,14-10-2025,4867,South,Raj,13-06-2025,Unqualified,Java Full Stack,Contacted,Organic Search,38,Fresher,
5aff00a4-5870-4367-9c1e-c982a245bd19,Social Media,Lost,06-03-2025,06-03-2025,0,East,Raj,,Qualified,Data Analytics,Contacted,Organic Search,89,Fresher,
566726f4-ce33-46a4-899e-a9c1c1ecfd32,Google Ads,Lost,12-04-2025,12-04-2025,0,West,Priya,,Qualified,Power BI,Contacted,Google Ads Campaign,56,Student,
36939547-8cff-4310-a356-58f9c82f1b3d,Social Media,Converted,07-10-2025,09-05-2025,3765,West,Raj,19-09-2025,Qualified,Java Full Stack,Pending Follow-up,Organic Search,69,Student,
b1b72230-bd5e-4a2c-8158-707e35243b4e,Social Media,Contacted,13-09-2025,20-09-2025,0,South,Mary,,Qualified,Java Full Stack,No Follow-up,Google Ads Campaign,94,Working Professional,
fa64d984-ca38-46c0-aadc-f8cfd2b9c279,Google Ads,Contacted,02-03-2025,27-01-2025,0,East,Mary,,Qualified,Java Full Stack,Pending Follow-up,Organic Search,34,Working Professional,
43287e8a-2202-4069-9510-c914fd52a3d8,Social Media,Converted,05-02-2025,11-10-2025,4203,South,Priya,03-04-2025,Unqualified,Power BI,Contacted,Organic Search,52,Working Professional,
4c893756-9c69-418c-9736-27c167a3bb06,Google Ads,Lost,10-08-2025,10-08-2025,0,North,Mary,,Qualified,Data Analytics,Pending Follow-up,Google Ads Campaign,94,Working Professional,
491716d1-934e-44bb-bbbd-99e248faa360,Referral,Converted,08-06-2025,19-01-2025,3566,South,Priya,10-01-2025,Qualified,Power BI,Contacted,Facebook Ads,75,Fresher,
1e312334-6fd4-4adb-a011-9a4338c82487,Organic,Lost,06-09-2025,06-09-2025,0,South,John,,Qualified,Java Full Stack,Contacted,Google Ads Campaign,55,Student,
17b744d6-4922-48fd-890b-db2f720f39e3,Organic,Lost,01-04-2025,01-04-2025,0,East,Raj,,Unqualified,Java Full Stack,Pending Follow-up,Google Ads Campaign,47,Fresher,
cec2fdfb-4491-4cde-aa72-5c17e3ca658c,Social Media,Converted,16-05-2025,12-07-2025,2007,North,John,16-06-2025,Unqualified,Power BI,Pending Follow-up,Google Ads Campaign,80,Working Professional,
14b5fda0-28d8-46a6-85b7-924539222ece,Organic,Lost,28-06-2025,28-06-2025,0,East,John,,Qualified,Java Full Stack,Contacted,Organic Search,76,Student,
6419547c-4ea2-48c6-9006-ff1e8879806a,Organic,Contacted,28-01-2025,21-06-2025,0,West,Priya,,Unqualified,Data Analytics,No Follow-up,Referral Program,91,Working Professional,
91a5a8bb-2280-414a-b4c1-768580056d08,Organic,Lost,03-06-2025,03-06-2025,0,South,John,,Qualified,Salesforce,Contacted,Referral Program,67,Fresher,
ce35d6e5-44aa-4634-afe3-e27b28ee1d33,Organic,Converted,31-05-2025,17-08-2025,3459,North,John,21-06-2025,Unqualified,Salesforce,Contacted,Referral Program,30,Fresher,
10c4e4ab-04ef-466f-bebe-28eb5c5fdd3e,Organic,Converted,16-01-2025,12-02-2025,4475,East,John,05-09-2025,Qualified,Data Analytics,Contacted,Organic Search,39,Working Professional,
a8425849-33ca-4d25-9e25-c778755a0646,Google Ads,Lost,01-09-2025,01-09-2025,0,North,Raj,,Qualified,Java Full Stack,Pending Follow-up,Organic Search,69,Student,
47662d98-3090-4888-b1dd-06c3a131171c,Referral,Converted,02-04-2025,28-02-2025,4109,North,Raj,31-01-2025,Qualified,Salesforce,Pending Follow-up,Facebook Ads,42,Student,
8eadefd8-573b-41fb-9af3-09e8769c8e0a,Organic,Converted,15-07-2025,10-09-2025,3187,South,Raj,03-05-2025,Qualified,Power BI,No Follow-up,Google Ads Campaign,49,Fresher,
f83bbd4f-8c82-4c09-b083-807736403872,Organic,Contacted,23-06-2025,08-10-2025,0,West,Mary,,Qualified,Power BI,Pending Follow-up,Referral Program,38,Fresher,
4951b811-e72a-4c77-bdfb-2c84a32cabdf,Referral,Lost,28-08-2025,28-08-2025,0,East,Mary,,Qualified,Salesforce,Contacted,Google Ads Campaign,31,Student,
54ff2491-0a2b-41d4-ac9e-b3e6af600101,Social Media,Contacted,10-06-2025,23-09-2025,0,East,Mary,,Qualified,Power BI,Follow-up Scheduled,Organic Search,89,Student,
ff7d8d17-b705-43b0-bb51-0086859cd940,Social Media,Contacted,19-09-2025,15-02-2025,0,West,Mary,,Unqualified,Power BI,Pending Follow-up,Organic Search,69,Fresher,
c69d6da7-1057-4e50-865c-eac06eead3d7,Google Ads,Contacted,28-08-2025,01-07-2025,0,East,Raj,,Unqualified,Salesforce,Pending Follow-up,Google Ads Campaign,30,Fresher,
174f1c31-6ca4-40ff-b0f7-0570880323ac,Referral,Lost,15-02-2025,15-02-2025,0,South,John,,Unqualified,Power BI,Follow-up Scheduled,Referral Program,64,Working Professional,
